tenor,rate,calibrate
2M,-0.002910,False
3M,-0.003080,True
4M,-0.003300,False
5M,-0.003440,False
6M,-0.003570,True
7M,-0.003680,False
8M,-0.003780,False
9M,-0.003880,True
10M,-0.003950,False
11M,-0.004020,False
12M,-0.004090,True
2Y,-0.004460,True
3Y,-0.004150,True
4Y,-0.003490,False
5Y,-0.002630,True
6Y,-0.001590,True
7Y,-0.000470,False
8Y,0.000690,True
9Y,0.001780,False
10Y,0.002770,True
11Y,0.003660,False
12Y,0.004450,True
15Y,0.006210,True
20Y,0.007650,True
25Y,0.008200,True
30Y,0.008350,True
40Y,0.008370,True
50Y,0.007890,True
60Y,0.007750,False
