tenor,rate,calibrate
3Y,0.000140,True
4Y,0.000870,False
5Y,0.001770,True
6Y,0.002750,True
7Y,0.003770,False
8Y,0.004790,True
9Y,0.005730,False
10Y,0.006580,True
11Y,0.007320,False
12Y,0.007980,True
15Y,0.009400,True
20Y,0.010390,True
25Y,0.010600,True
30Y,0.010500,True
40Y,0.010190,True
50Y,0.009510,True
60Y,0.009220,True
