tenor,rate,calibrate
2Y,-0.003050,True
3Y,-0.002680,True
4Y,-0.001990,True
5Y,-0.001120,True
6Y,-0.000090,True
7Y,0.001020,True
8Y,0.002160,True
9Y,0.003230,True
10Y,0.004200,True
11Y,0.005070,False
12Y,0.005840,True
15Y,0.007530,True
20Y,0.008830,True
25Y,0.009240,True
30Y,0.009280,True
40Y,0.009150,False
50Y,0.008570,True
60Y,0.008360,True
